val,class
0.01909,defect
0.035883,defect
-0.023271,defect
0.001907,defect
-0.008254,defect
-0.021423,defect
-0.031479,defect
-0.073671,defect
-0.002389,defect
0.006493,defect
0.087191,defect
0.014636,defect
0.029022,defect
0.068161,defect
-0.039414,defect
0.015324,defect
0.025785,defect
0.02773,defect
-0.031873,defect
-0.050567,defect
0.095062,defect
0.075651,defect
-0.141108,defect
0.033256,defect
0.110046,defect
-0.02506,defect
-0.019783,defect
-0.034879,defect
0.058111,defect
0.033564,defect
-0.064091,defect
-0.10564,defect
0.129251,defect
0.034418,defect
-0.049099,defect
0.042874,defect
-0.008668,defect
0.125535,defect
-0.043004,defect
-0.039239,defect
0.023763,defect
0.035513,defect
-0.003178,defect
-0.104519,defect
0.06164,defect
0.047533,defect
0.01888,defect
0.001248,defect
0.015873,defect
0.079223,defect
-0.041013,defect
-0.055052,defect
-0.048516,defect
-0.046121,defect
-0.010831,defect
-0.032565,defect
-0.07789,defect
0.04007,defect
-0.002257,defect
-0.011265,defect
0.015281,defect
0.038668,defect
0.06519,defect
-0.10387,defect
-0.034953,defect
0.049283,defect
0.01296,defect
-0.136903,defect
0.009005,defect
0.072874,defect
0.052959,defect
0.033544,defect
-0.004141,defect
0.086209,defect
-0.020019,defect
0.011492,defect
0.004116,defect
-0.013293,defect
0.005409,defect
-0.043258,defect
-0.008004,defect
0.024784,defect
-0.014913,defect
-0.108553,defect
0.09265,defect
0.123989,defect
-0.009434,defect
-0.116398,defect
-0.023645,defect
0.079821,defect
-0.044802,defect
-0.055625,defect
-0.08395,defect
0.102234,defect
0.020902,defect
-0.040208,defect
0.001499,defect
0.02636,defect
0.051571,defect
-0.057948,defect
0.013237,defect
-0.014052,defect
-0.05403,defect
-0.053207,defect
-0.020497,defect
-0.015646,defect
-0.043912,defect
-0.034631,defect
0.037055,defect
0.035922,defect
-0.02749,defect
-0.067076,defect
-0.030655,defect
0.063046,defect
-0.103645,defect
-0.044579,defect
-0.048251,defect
0.031547,defect
-0.013009,defect
-0.013005,defect
0.023515,defect
-0.069498,defect
0.05455,defect
-0.084002,defect
0.007668,defect
0.01321,defect
-0.005265,defect
-0.002334,defect
-0.024476,defect
-0.017899,defect
-0.052678,defect
-0.04612,defect
-0.04055,defect
0.026385,defect
-0.039533,defect
-0.023735,defect
0.118265,defect
0.032842,defect
0.000632,defect
-0.112979,defect
-0.04337,defect
0.109501,defect
-0.022746,defect
-0.031417,defect
-0.032952,defect
0.036441,defect
-0.055121,defect
0.014015,defect
0.061834,defect
-0.069194,defect
-0.029324,defect
0.059401,defect
-0.034272,defect
-0.073507,defect
-0.054967,defect
-0.017671,defect
0.017596,defect
-0.067572,defect
-0.011586,defect
-0.051859,defect
-0.005976,defect
-0.068819,defect
0.071386,defect
0.010009,defect
-0.058518,defect
-0.030881,defect
-0.007534,defect
0.119554,defect
-0.107562,defect
-0.097996,defect
-0.053244,defect
0.059587,defect
-0.085682,defect
0.027085,defect
-0.00754,defect
0.029126,defect
-0.030111,defect
-0.064474,defect
0.09449,defect
-0.018095,defect
-0.029881,defect
-0.145767,defect
-0.02227,defect
0.002747,defect
0.00768,defect
-0.018701,defect
-0.086596,defect
-0.076246,defect
0.168103,defect
0.037732,defect
-0.051045,defect
-0.058471,defect
0.012909,defect
-0.01016,defect
0.01653,defect
0.025191,defect
-0.139853,defect
-0.007544,defect
0.010795,defect
0.011407,defect
-0.035107,defect
-0.024247,defect
-0.041986,defect
0.07038,defect
0.030921,defect
-0.021099,defect
-0.074122,defect
-0.020987,defect
0.020525,defect
-0.057986,defect
-0.027481,defect
-0.088172,defect
-0.002675,defect
0.045552,defect
0.013678,defect
-0.023351,defect
-0.090159,defect
0.010434,defect
0.089935,defect
-0.030465,defect
-0.169506,defect
-0.002319,defect
0.105994,defect
-0.072025,defect
-0.081757,defect
-0.033091,defect
0.022595,defect
-0.059912,defect
0.020201,defect
0.014356,defect
-0.033756,defect
-0.033608,defect
-0.042517,defect
-0.006694,defect
-0.035699,defect
0.018089,defect
-0.110953,defect
0.02676,defect
-0.031832,defect
-0.02775,defect
0.081644,defect
-0.141231,defect
-0.014836,defect
0.083588,defect
0.00331,defect
-0.063249,defect
0.013237,defect
-0.025686,defect
-0.102919,defect
0.020205,defect
-0.009178,defect
0.058067,defect
-0.109277,defect
-0.005929,defect
0.0926,defect
0.013898,defect
0.00389,defect
-0.15085,defect
0.044194,defect
0.044728,defect
-0.07587,defect
-0.043783,defect
0.052889,defect
0.030595,defect
-0.065402,defect
-0.103571,defect
0.0642,defect
0.086714,defect
-0.050988,defect
-0.145233,defect
-0.004123,defect
0.090039,defect
-0.048735,defect
-0.102712,defect
-0.019202,defect
0.029045,defect
-0.02239,defect
0.000207,defect
-0.087171,defect
-0.033439,defect
0.00752,defect
-0.047949,defect
0.058522,defect
0.02488,defect
-0.091332,defect
0.009492,defect
0.047906,defect
0.007533,defect
-0.128587,defect
-0.019835,defect
0.091495,defect
0.022972,defect
-0.138337,defect
-0.046788,defect
0.162119,defect
-0.065906,defect
-0.042309,defect
0.028454,defect
0.049359,defect
-0.077181,defect
-0.011995,defect
0.045594,defect
-0.052233,defect
-0.060826,defect
-0.024982,defect
0.056533,defect
-0.061472,defect
0.034825,defect
0.02777,defect
0.032646,defect
-0.042176,defect
0.01512,defect
-0.054996,defect
-0.086265,defect
0.092382,defect
0.038743,defect
-0.010142,defect
-0.098313,defect
0.100433,defect
0.019858,defect
-0.036255,defect
0.013972,defect
0.006717,defect
-0.003319,defect
-0.120024,defect
0.108074,defect
0.002284,defect
-0.122892,defect
-0.075116,defect
-0.009824,defect
0.155459,defect
-0.042495,defect
0.007849,defect
0.058701,defect
0.048229,defect
0.020621,defect
-0.139812,defect
0.010295,defect
0.066504,defect
0.0453,defect
-0.072941,defect
-0.094579,defect
0.10842,defect
0.062214,defect
-0.07796,defect
-0.04704,defect
0.104913,defect
0.047672,defect
-0.107514,defect
0.007384,defect
0.046084,defect
-0.00492,defect
-0.089014,defect
-0.050111,defect
0.034927,defect
0.048088,defect
-0.019975,defect
-0.014909,defect
0.118203,defect
0.008489,defect
-0.001476,defect
0.005059,defect
-0.06329,defect
0.010452,defect
0.042171,defect
-0.051025,defect
-0.027318,defect
0.042585,defect
0.053413,defect
-0.072778,defect
0.055308,defect
0.107791,defect
-0.003308,defect
-0.094135,defect
-0.061212,defect
0.153109,defect
-0.03592,defect
-0.096487,defect
-0.029649,defect
0.103846,defect
-0.028132,defect
-0.045447,defect
0.10393,defect
0.064283,defect
-0.050658,defect
-0.090956,defect
0.128492,defect
0.087978,defect
-0.06594,defect
-0.134417,defect
0.10572,defect
0.074094,defect
-0.061965,defect
-0.013205,defect
0.030192,defect
0.05835,defect
-0.00826,defect
0.004916,defect
-0.043484,defect
0.00279,defect
-0.10325,defect
-0.013303,defect
0.018599,defect
0.028161,defect
0.141958,defect
-0.062566,defect
-0.041142,defect
-0.005588,defect
0.129447,defect
-0.04538,defect
-0.08901,defect
0.047875,defect
-0.038326,defect
0.032877,defect
0.030146,defect
0.079426,defect
-0.061208,defect
0.048814,defect
0.110496,defect
-0.070243,defect
0.107066,defect
0.005786,defect
-0.054769,defect
-0.080223,defect
-0.015497,defect
0.0348,defect
-0.137622,defect
0.021355,defect
0.099213,defect
0.066864,defect
-0.051437,defect
0.055061,defect
0.033298,defect
-0.026015,defect
-0.017428,defect
-0.063615,defect
0.085232,defect
0.053552,defect
-0.094878,defect
0.034808,defect
0.146402,defect
0.015716,defect
-0.065585,defect
0.021185,defect
0.196686,defect
-0.149374,defect
-0.098586,defect
0.102788,defect
-0.014286,defect
-0.102245,defect
-0.029832,defect
0.048013,defect
-0.066673,defect
0.091889,defect
0.063485,defect
-0.033863,defect
0.079637,defect
0.123949,defect
-0.055211,defect
-0.11496,defect
0.003616,defect
0.008582,defect
-0.011778,defect
-0.111134,defect
0.057954,defect
0.10095,defect
-0.014962,defect
0.080004,defect
0.040956,defect
0.038482,defect
-0.047952,defect
-0.03332,defect
0.01133,defect
0.019866,defect
-0.078305,defect
-0.025206,defect
0.012128,defect
0.011735,defect
0.047906,defect
0.002269,defect
0.031358,defect
0.088274,defect
-0.018504,defect
0.033838,defect
0.08725,defect
-0.106986,defect
-0.053407,defect
0.107064,defect
0.061374,defect
-0.095862,defect
0.020061,defect
0.00942,defect
0.071276,defect
0.004069,defect
0.014153,defect
0.016343,defect
0.016077,defect
0.002415,defect
-0.066608,defect
0.073393,defect
-0.062784,defect
-0.05421,defect
0.074642,defect
0.090093,defect
-0.104794,defect
0.018956,defect
0.120391,defect
-0.037248,defect
-0.003253,defect
0.019704,defect
-0.040188,defect
0.058255,defect
0.015888,defect
-0.061611,defect
0.086542,defect
-0.004576,defect
-0.053294,defect
0.039167,defect
0.089584,defect
-0.137484,defect
-0.010699,defect
0.122033,defect
-0.117845,defect
-0.030609,defect
0.102863,defect
0.046484,defect
-0.018643,defect
0.02501,defect
0.044157,defect
0.046428,defect
-0.048301,defect
0.026304,defect
0.092801,defect
-0.041772,defect
-0.016218,defect
-0.014991,defect
0.043423,defect
-0.03509,defect
0.058193,defect
0.094539,defect
-0.036365,defect
0.022042,defect
0.023511,defect
0.006019,defect
-0.027057,defect
0.070256,defect
-0.052871,defect
-0.05632,defect
0.045598,defect
0.002802,defect
0.054769,defect
0.030759,defect
-0.046763,defect
0.046703,defect
0.100501,defect
-0.040748,defect
0.051393,defect
-0.052848,defect
0.017599,defect
0.09526,defect
-0.067559,defect
0.003857,defect
-0.000369,defect
0.060934,defect
-0.016985,defect
-0.016896,defect
0.100609,defect
-0.002427,defect
0.002171,defect
0.038875,defect
-0.008811,defect
-0.034409,defect
-0.003048,defect
0.052844,defect
-0.001173,defect
-0.016959,defect
-0.031315,defect
0.049078,defect
0.035941,defect
-0.028801,defect
0.051617,defect
0.044789,defect
0.005854,defect
-0.052004,defect
0.014035,defect
0.070846,defect
0.00837,defect
0.021792,defect
0.024126,defect
0.034428,defect
0.012122,defect
0.066463,defect
0.035284,defect
-0.093176,defect
0.052238,defect
0.069838,defect
0.039155,defect
-0.087482,defect
-0.029117,defect
0.087399,defect
0.005522,defect
-0.010426,defect
0.014256,defect
0.113817,defect
-0.013263,defect
0.019131,defect
0.071931,defect
-0.065037,defect
